reservoir_id,name,company,latitude,longitude,total_capacity
THM_001,Reservoirs in London,Thames Water,51.5,-0.1,
THM_002,Farmoor Reservoir in Oxfordshire,Thames Water,51.7,-1.3,
THM_003,West London,Thames Water,51.5,-0.2,
THM_004,Lee Valley,Thames Water,51.7,0.0,
RES_005,Abberton,,50.028701,-8.002197,39000.0
RES_006,Agden,,50.044391,-8.017654,2859.0
RES_007,Allerton Newton Fairburn,,50.047537,-8.015956,3347.5
RES_008,Allt na Lairige,,50.073705,-8.0357,1838.0
RES_009,Alton Water,,50.03027,-8.000571,9100.0
RES_010,Alwen Reservoir,,50.040847,-8.029391,14754.0
RES_011,Anglezarke,,50.046528,-8.023442,4044.0
RES_012,Angram,,50.051938,-8.019641,4737.0
RES_013,Ardingly,,50.020631,-8.008003,5206.0
RES_014,Ardleigh,,50.029594,-8.001721,2109.0
RES_015,Arlington,,50.018703,-8.006219,3545.8
RES_016,Audenshaw No.1,,50.044787,-8.020746,2590.0
RES_017,Audenshaw No.2,,50.044742,-8.020773,1745.0
RES_018,Audenshaw No.3,,50.044787,-8.0208,2680.0
RES_019,Baddinsgill,,50.068149,-8.027831,2250.0
RES_020,Baitings,,50.046789,-8.01991,3523.0
RES_021,Bakethin,,50.062334,-8.023208,2960.0
RES_022,Balderhead,,50.055761,-8.020647,19618.0
RES_023,Banbury,,50.026275,-8.00776,2779.0
RES_024,Banbury FSA,,50.026275,-8.00776,3040.0
RES_025,Barden Lower,,50.050197,-8.019685,2240.0
RES_026,Barden Upper,,50.050297,-8.019892,2112.0
RES_027,Barnacre North,,50.049395,-8.02426,344.0
RES_028,Barnacre South,,50.049377,-8.02426,248.0
RES_029,Barrow 1,,50.024093,-8.02417,157.0
RES_030,Barrow 2,,50.02412,-8.024143,245.0
RES_031,Barrow 3,,50.024165,-8.024107,2160.0
RES_032,Bartley,,50.034373,-8.019982,2400.0
RES_033,Beacons Reservoir,,50.028726,-8.029104,160.0
RES_034,Beckingham FSA,,50.044228,-8.012856,7000.0
RES_035,Belmont,,50.046564,-8.022939,1886.0
RES_036,Belvide,,50.036988,-8.021213,2196.0
RES_037,Ben Crom,,50.052479,-8.043352,1700.0
RES_038,Bewl Bridge,,50.020979,-8.004923,31400.0
RES_039,Blackbrook,,50.037646,-8.015884,2300.0
RES_040,Blackmoorfoot,,50.046257,-8.01911,3205.0
RES_041,Blackton,,50.055779,-8.020503,2105.0
RES_042,Blackwater,,50.077572,-8.035749,214977.0
RES_043,Blagdon (Bristol),,50.023444,-8.024404,8260.0
RES_044,Blithfield,,50.038187,-8.019461,18200.0
RES_045,Bosley,,50.04201,-8.020701,1224.0
RES_046,Bottoms (Longdendale),,50.044814,-8.019793,2300.0
RES_047,Bough Beech,,50.022335,-8.006574,10018.0
RES_048,Branston Island,,50.04247,-8.010115,2000.0
RES_049,Brent,,50.025888,-8.009072,1632.33
RES_050,Broomhead,,50.044715,-8.017583,4937.282
RES_051,Brotherton Little Marsh to Birkin Holme Washland,,50.047366,-8.015318,11320.0
RES_052,Burnhope,,50.057618,-8.021375,6438.182
RES_053,Burrator,,50.015199,-8.032969,4464.0
RES_054,Butterley,,50.046032,-8.019578,1773.0
RES_055,Caban Coch,,50.03275,-8.029742,36865.0
RES_056,Caldecott Lake,,50.030279,-8.011921,2014.0
RES_057,Cantref Reservoir,,50.028479,-8.029042,145.0
RES_058,Carsington,,50.040703,-8.017771,36000.0
RES_059,Catcleugh,,50.063398,-8.022274,10500.0
RES_060,Catterall Flood Storage,,50.048809,-8.024781,1700.0
RES_061,Cavendish Dock,,50.051243,-8.027082,2053.0
RES_062,Cawood Ings Wistow Lordship,,50.048331,-8.014563,13500.0
RES_063,Chasewater,,50.036753,-8.019676,3691.0
RES_064,Cheddar,,50.022876,-8.025024,6140.0
RES_065,Chelker,,50.049738,-8.019493,95.0
RES_066,Chelmarsh ,,50.034941,-8.02239,3063.32
RES_067,Chew Magna,,50.023733,-8.0239,43.0
RES_068,Chew Valley Lake,,50.023444,-8.023864,20457.0
RES_069,Chrathaich,,50.083019,-8.034702,5629.0
